city,State_ab,State_name,population,density
St. Paul,MN,Minnesota,28885.363636363636,557.2727272727273
St. Paul Park,MN,Minnesota,5362.0,697.0
St. Pauls,NC,North Carolina,3710.0,585.0
St. Pete Beach,FL,Florida,9587.0,1740.0
St. Peter,MN,Minnesota,4732.0,386.6666666666667
St. Peters,MO,Missouri,58212.0,1003.0
St. Petersburg,FL,Florida,132859.5,1050.5
St. Pierre,MT,Montana,343.0,16.0
St. Regis,MT,Montana,210.0,94.0
St. Regis Falls,NY,New York,399.0,119.0
St. Regis Park,KY,Kentucky,1497.0,1637.0
St. Robert,MO,Missouri,6275.0,288.0
St. Rosa,MN,Minnesota,71.0,74.0
St. Rose,LA,Louisiana,3879.5,356.5
St. Simons,GA,Georgia,14778.0,346.0
St. Stephen,SC,South Carolina,1339.5,188.5
St. Stephens,NC,North Carolina,4924.5,202.0
St. Thomas,ND,North Dakota,291.0,112.0
St. Vincent,MN,Minnesota,62.0,23.0
St. Vincent College,PA,Pennsylvania,1305.0,1000.0
St. Xavier,MT,Montana,136.0,9.0
Staatsburg,NY,New York,317.0,114.0
Stacey Street,FL,Florida,568.0,1821.0
Stacy,MN,Minnesota,1518.0,181.0
Stacyville,IA,Iowa,463.0,348.0
Stafford,TX,Texas,5029.75,387.0
Stafford Courthouse,VA,Virginia,4252.0,383.0
Stafford Springs,CT,Connecticut,5023.0,304.0
Stagecoach,NV,Nevada,1256.0,143.0
Staley,NC,North Carolina,398.0,132.0
Stallings,NC,North Carolina,16145.0,747.0
Stallion Springs,CA,California,3581.0,84.0
Stamford,CT,Connecticut,44251.333333333336,554.0
Stamping Ground,KY,Kentucky,802.0,526.0
Stamps,AR,Arkansas,1465.0,185.0
Stanaford,WV,West Virginia,901.0,182.0
Stanardsville,VA,Virginia,386.0,417.0
Stanberry,MO,Missouri,1175.0,323.0
Stanchfield,MN,Minnesota,68.0,49.0
Standard,IL,Illinois,203.0,110.0
Standard City,IL,Illinois,145.0,88.0
Standing Pine,MS,Mississippi,554.0,61.0
Standing Rock,AL,Alabama,168.0,20.0
Standish,MI,Michigan,1382.0,244.0
Stanfield,OR,Oregon,1391.6666666666667,238.33333333333334
Stanford,CA,California,5427.0,834.5
Stanhope,NJ,New Jersey,1851.0,425.5
Stanley,NC,North Carolina,1731.7142857142858,311.2857142857143
Stanleytown,VA,Virginia,1379.0,196.0
Stannards,NY,New York,573.0,79.0
Stansberry Lake,WA,Washington,2634.0,491.0
Stansbury Park,UT,Utah,9325.0,1548.0
Stanton,CA,California,6198.0,918.625
Stantonsburg,NC,North Carolina,779.0,511.0
Stantonville,TN,Tennessee,261.0,89.0
Stanwood,WA,Washington,2741.3333333333335,539.0
Staplehurst,NE,Nebraska,232.0,717.0
Staples,MN,Minnesota,1638.5,157.0
Stapleton,AL,Alabama,704.3333333333334,199.0
Star,ID,Idaho,5690.5,416.0
Star City,AR,Arkansas,1383.0,588.0
Star Harbor,TX,Texas,477.0,394.0
Star Junction,PA,Pennsylvania,274.0,94.0
Star Lake,NY,New York,601.0,53.0
Star Prairie,WI,Wisconsin,556.0,100.0
Star Valley,AZ,Arizona,2308.0,24.0
Star Valley Ranch,WY,Wyoming,1659.0,235.0
Starbrick,PA,Pennsylvania,424.0,138.0
Starbuck,MN,Minnesota,699.0,273.5
Stark,KS,Kansas,67.0,157.0
Stark City,MO,Missouri,136.0,167.0
Starke,FL,Florida,5647.0,291.0
Starks,LA,Louisiana,303.0,34.0
Starkville,MS,Mississippi,16300.0,336.5
Starkweather,ND,North Dakota,115.0,342.0
Starr,SC,South Carolina,190.0,48.0
Starr School,MT,Montana,329.0,30.0
Starrucca,PA,Pennsylvania,165.0,7.0
Start,LA,Louisiana,1067.0,117.0
Startex,SC,South Carolina,954.0,242.0
Startup,WA,Washington,573.0,53.0
State Center,IA,Iowa,1436.0,562.0
State College,PA,Pennsylvania,87723.0,3572.0
State Line,PA,Pennsylvania,1032.0,190.66666666666666
State Line City,IN,Indiana,139.0,385.0
Stateburg,SC,South Carolina,1813.0,150.0
Stateline,NV,Nevada,950.0,510.0
Staten Island,NY,New York,476143.0,3156.0
Statesboro,GA,Georgia,42102.0,854.0
Statesville,NC,North Carolina,27528.0,429.0
Statham,GA,Georgia,2839.0,270.0
Staunton,VA,Virginia,21952.0,525.0
Staves,AR,Arkansas,144.0,22.0
Stayton,OR,Oregon,11166.0,1049.0
Ste. Genevieve,MO,Missouri,4416.0,415.0
Ste. Marie,IL,Illinois,238.0,82.0
Steamboat,AZ,Arizona,316.0,50.0
Steamboat Rock,IA,Iowa,302.0,215.0
Steamboat Springs,CO,Colorado,14087.0,516.0
Stearns,KY,Kentucky,1190.0,114.0
Stebbins,AK,Alaska,575.0,6.0
Stedman,NC,North Carolina,1076.0,199.0
Steele,MO,Missouri,1229.6666666666667,317.0
Steele City,NE,Nebraska,58.0,96.0
Steele Creek,AK,Alaska,7704.0,32.0
Steeleville,IL,Illinois,3206.0,487.0
Steelton,PA,Pennsylvania,5962.0,1214.0
Steelville,MO,Missouri,1650.0,263.0
Steely Hollow,OK,Oklahoma,153.0,28.0
Steen,MN,Minnesota,165.0,145.0
Steep Falls,ME,Maine,1683.0,64.0
Steger,IL,Illinois,9221.0,1045.0
Steilacoom,WA,Washington,6390.0,1226.0
Steinauer,NE,Nebraska,70.0,200.0
Steinhatchee,FL,Florida,782.0,94.0
Stella,PR,Puerto Rico,674.6666666666666,900.6666666666666
Stem,NC,North Carolina,567.0,144.0
Stephen,MN,Minnesota,645.0,319.0
Stephens,AR,Arkansas,787.0,110.0
Stephens City,VA,Virginia,2063.0,328.0
Stephenson,MI,Michigan,826.0,293.0
Stephenville,TX,Texas,21247.0,690.0
Steptoe,WA,Washington,190.0,33.0
Sterling,VA,Virginia,8297.4,589.0
Sterling City,TX,Texas,998.0,393.0
Sterling Heights,MI,Michigan,132438.0,1403.0
Sterlington,LA,Louisiana,2931.0,400.0
Sterrett,AL,Alabama,977.0,16.0
Stetsonville,WI,Wisconsin,519.0,512.0
Steuben,WI,Wisconsin,122.0,7.0
Steubenville,OH,Ohio,17753.0,650.0
Stevens,PA,Pennsylvania,429.0,106.0
Stevens Point,WI,Wisconsin,42837.0,581.0
Stevens Village,AK,Alaska,15.0,0.0
Stevenson,AL,Alabama,1776.0,236.0
Stevenson Ranch,CA,California,19179.0,1165.0
Stevensville,MD,Maryland,3489.3333333333335,489.6666666666667
Stevinson,CA,California,177.0,60.0
Steward,IL,Illinois,241.0,345.0
Stewardson,IL,Illinois,721.0,449.0
Stewart,MN,Minnesota,475.0,396.5
Stewart Manor,NY,New York,1956.0,3605.0
