city,state_id,state_name,Low_Confidence_Limit,Data_Value,health_bad,High_Confidence_Limit,PopulationCount,density,state_name,ALand,AWater,Median,Stdev
Flint,MI,Michigan,18.6804878,20.13902439,1,21.67560976,7494.219512,1103,Michigan,4375134.125,54764.0,61869.875,27934.125
Folsom,CA,California,9.433333333,10.45555556,0,11.59444444,12031.61111,1126,California,3241219.0,199239.83333333334,147762.16666666666,59004.166666666664
Fontana,CA,California,13.26216216,14.47837838,1,15.70810811,15897.48649,1923,California,2937691.0,0.0,85852.46153846153,36861.61538461538
Fort Collins,CO,Colorado,10.61666667,12.2375,0,13.89583333,8998.208333,1149,Colorado,11602165.0,989609.0,89265.8,51797.73333333333
Fort Lauderdale,FL,Florida,12.72307692,13.95961538,1,15.24807692,9548.769231,2036,Florida,1678678.2352941176,179057.0,61552.0,48321.41176470588
Fort Smith,AR,Arkansas,15.73913043,17.00434783,1,18.30869565,11244.65217,536,Arkansas,7208942.3,673670.1,34863.1,36609.2
Fort Wayne,IN,Indiana,14.87125,16.27125,1,17.7325,9512.8625,943,Indiana,6565283.129032258,12310.516129032258,78880.35483870968,43114.645161290326
Fort Worth,TX,Texas,13.53703704,14.74320988,1,15.9691358,13725.34568,1016,Texas,6269834.972222222,242362.55555555556,92542.77777777778,43187.916666666664
Fremont,CA,California,7.66,8.391111111,0,9.213333333,14272.6,1201,California,6844109.235294118,737798.5882352941,134866.82352941178,68391.11764705883
Fresno,CA,California,14.12936508,15.31904762,1,16.52539683,11777.37302,1789,California,6606283.893617021,5312.04255319149,65852.14893617021,44210.063829787236
Frisco,TX,Texas,8.834285714,9.96,0,11.25428571,10027.45714,1136,Texas,5705436.2,59543.2,257203.4,60699.7
Fullerton,CA,California,10.48,11.56285714,0,12.72,11585.22857,2386,California,2201596.4545454546,653.0909090909091,174472.45454545456,50743.454545454544
Gainesville,FL,Florida,14.14102564,15.96666667,1,17.87948718,9565.410256,820,Florida,28192987.14285714,622367.7142857143,36414.21428571428,36737.642857142855
Garden Grove,CA,California,11.44090909,12.45227273,0,13.48409091,11650.84091,3690,California,1605532.8666666667,7752.533333333334,87657.2,50954.46666666667
Garland,TX,Texas,13.14,14.272,1,15.43,13611.44,1623,Texas,3209780.3,616508.25,71518.4,40741.0
Gary,IN,Indiana,16.9,18.4,1,19.97575758,7299.454545,581,Indiana,4126404.25,207717.58333333334,32052.166666666668,37242.833333333336
Gastonia,NC,North Carolina,14.22258065,15.50322581,1,16.79032258,6940.935484,577,North Carolina,12444044.909090908,55696.454545454544,86124.18181818182,40740.545454545456
Gilbert,AZ,Arizona,10.22340426,11.42978723,0,12.70212766,13305.42553,1432,Arizona,17833917.64285714,42039.642857142855,145477.14285714287,59110.642857142855
Glendale,AZ,Arizona,12.25048544,13.40291262,0,14.59514563,12186.50485,1582,Arizona,3636748.1071428573,21522.75,92191.10714285714,43621.607142857145
Grand Prairie,TX,Texas,12.9925,14.0425,1,15.1075,13153.25,1039,Texas,4902468.428571428,851861.4285714285,97715.85714285714,46673.92857142857
Grand Rapids,MI,Michigan,13.89444444,15.46666667,1,17.17407407,10446.66667,1734,Michigan,8137712.588235294,169572.64705882352,81931.35294117648,41822.205882352944
Greeley,CO,Colorado,12.34705882,13.77352941,0,15.21176471,8193.529412,858,Colorado,14739533.9,45074.8,114736.2,38067.8
Green Bay,WI,Wisconsin,12.334375,13.59375,0,14.890625,9755.34375,887,Wisconsin,16282751.47368421,1213388.5789473683,71378.52631578948,45871.31578947369
Greensboro,NC,North Carolina,12.3962963,13.68148148,0,15.02592593,9987.259259,887,North Carolina,7556196.185185186,84064.0,60370.7037037037,37881.0
Greenville,NC,North Carolina,13.432,15.368,1,17.264,10146.4,1012,North Carolina,34924218.88888889,136701.77777777778,63737.555555555555,45328.666666666664
Gresham,OR,Oregon,15.2,16.45555556,1,17.75925926,11732.66667,1808,Oregon,3296822.5,30380.0,91960.66666666667,37191.666666666664
Gulfport,MS,Mississippi,14.58333333,15.875,1,17.23333333,8474.125,497,Mississippi,17235054.1,1127453.3,33135.0,33837.3
Hammond,IN,Indiana,15.38571429,16.48095238,1,17.61904762,11547.14286,1282,Indiana,2546495.714285714,15379.142857142857,74541.14285714286,40482.71428571428
