StateAbbr,StateDesc,CityName,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,PopulationCount
AZ,Arizona,Glendale,10.3,11.7,13.3,4362
AZ,Arizona,Phoenix,17.3,18.6,19.9,2232
AZ,Arizona,Phoenix,16.6,17.9,19.2,3864
AZ,Arizona,Mesa,10.2,11.4,12.6,5715
AZ,Arizona,Phoenix,8.7,9.8,11.0,1793
AZ,Arizona,Phoenix,11.2,12.6,14.0,3026
AZ,Arizona,Peoria,9.9,10.8,11.8,6029
AZ,Arizona,Phoenix,17.1,18.8,20.4,7944
AZ,Arizona,Phoenix,17.2,18.9,20.6,3758
AZ,Arizona,Phoenix,11.6,12.5,13.6,6489
AZ,Arizona,Phoenix,17.1,18.8,20.3,4450
AZ,Arizona,Mesa,11.2,12.3,13.7,4300
AZ,Arizona,Phoenix,13.5,14.7,15.9,5827
AZ,Arizona,Phoenix,9.4,10.5,11.7,4312
