city,State_name,State_ab,ALand,AWater,Median,Stdev
Mashpee,Massachusetts,MA,2566375.75,429653.5,242296.5,164916.1915
Mason,Michigan,MI,5090830,93055.25,68184.25,89482.82329
Mason City,Iowa,IA,571811.6667,0,156716.3333,84069.41642
Masontown,Pennsylvania,PA,3912261,83801,82904,93370.50672
Massapequa,New York,NY,8905587,313872,188253,185486.1934
Massapequa Park,New York,NY,5723339,111352,189784,184280.0348
Massena,Iowa,IA,1555633,0,85502,113372.7732
Massillon,Ohio,OH,28284006.5,286962,77857,102050.8922
Matador,Texas,TX,2749966,0,57815,51040.43831
Matagorda,Texas,TX,4773183,501171,250000,62101.69032
Matewan,Kentucky,KY,1033068,0,62011.5,65259.17025
Mather,California,CA,25964732,64570,117889,153507.7013
Matherville,Illinois,IL,1012721,21517,92421,109255.9018
Mathews,Virginia,VA,8307598,7765565,102832,149247.7182
Mathis,Texas,TX,2756132.5,1417706,205363,89695.90715
Mathiston,Mississippi,MS,6383928,50827,81957,111024.438
Matoaka,West Virginia,WV,1312736,0,48760.5,39045.56007
Mattawa,Washington,WA,5350926.5,3500499,75044.5,78197.02585
Mattawan,Michigan,MI,9879421,62194,90257,97471.62299
Matthews,Missouri,MO,30042313,388494.3333,153679.6667,130288.5615
Mattituck,New York,NY,7769817,190446,165250,153504.3441
Mattoon,Illinois,IL,2648214,0,73088,61471.93285
Maud,Oklahoma,OK,11818815.5,0,63672.5,70701.93143
Maugansville,Maryland,MD,4560981,0,162114.6667,73075.81636
Maunabo,Puerto Rico,PR,1516950,0,72795,164672.1308
Maupin,Oregon,OR,5520992,262622.25,65069.75,53043.76775
Maurice,Louisiana,LA,7201270,5017,90042,98470.03174
Maury City,Tennessee,TN,2919085,0,63104,55613.71851
Max,North Dakota,ND,1326334,0,199188,78515.71744
Max Meadows,Virginia,VA,23454166.5,186668,190722,23585.94963
Maxton,North Carolina,NC,4609651,0,167602,75103.90556
Maxwell,Iowa,IA,1874209.5,0,81624,108379.7979
May,Texas,TX,6584644,1020811,82571,81389.92166
Maybell,Colorado,CO,1342323,0,27157,14760.55691
Mayer,Arizona,AZ,52000783,0,73455,64074.465
Mayetta,Kansas,KS,437525,0,75211,62839.14804
Mayfield,Kentucky,KY,4778519.75,135205.75,149704.75,91296.4083
Mayflower,Arkansas,AR,9930065,122363,109106,148699.7106
Maylene,Alabama,AL,5688362,26749,75680,72753.72271
Maynard,Arkansas,AR,4688026.25,114158.25,108571.5,116041.5855
Mayo,Florida,FL,2339831,21182,185248.5,91502.85996
Mayodan,North Carolina,NC,7448515,54836,54601,55935.71309
Maypearl,Texas,TX,2097180,46266,300000,71831.97401
Mays,Indiana,IN,322494,0,68794,60612.18222
Mays Landing,New Jersey,NJ,4420236,625102,111481,152504.1877
Maysville,Georgia,GA,16916451.75,1824957.25,133283.25,130092.2039
Mayville,Michigan,MI,4535182.25,89991,83988.75,111346.0494
Maywood,California,CA,1876808.5,0,65688.5,75831.30561
Mazon,Illinois,IL,1528121,15897,98378,97587.0263
Mc Arthur,Ohio,OH,1139817,18866,82239,65822.17053
Mc Bain,Michigan,MI,3241303,0,52635,58274.03096
Mc Clave,Colorado,CO,912224,0,81580,78219.89991
Mc Connelsville,Ohio,OH,4634849,277737,65394,102750.7031
Mc Donald,Ohio,OH,2380857.75,0,136938.5,71283.29384
Mc Guffey,Ohio,OH,840809.5,0,59966,51048.45661
Mc Intosh,Florida,FL,1801704,846,300000,103421.3048
Mc Kean,Pennsylvania,PA,1481098,27457,81075,29827.08158
Mc Keesport,Pennsylvania,PA,13064614,952790,57283,66545.57776
Mc Leansboro,Illinois,IL,6768652,338011,85995,93500.83399
Mc Rae,Georgia,GA,9481215.667,141271.3333,108542,30164.68706
Mc Veytown,Pennsylvania,PA,1843650,8099.5,139946.75,89987.17009
Mcadoo,Pennsylvania,PA,903409,0,68201,95746.65317
Mcalester,Oklahoma,OK,5765166,6816,86247,36618.70543
Mcalisterville,Pennsylvania,PA,9722650,16811,71244,83294.98502
Mcallen,Texas,TX,151143159,1038050,107786,149853.7948
Mcarthur,California,CA,1834790,32277.5,69634,51089.10007
Mcbee,South Carolina,SC,3400291,0,75867,87183.52267
Mccall,Idaho,ID,23395430,2205736,89665,136234.0269
Mccleary,Washington,WA,5295913,57128,94658,104632.421
Mccoll,North Carolina,NC,1800982.5,1359,165804.5,87074.23459
Mccool Junction,Nebraska,NE,1210577,10370,78356,71191.44086
Mccordsville,Indiana,IN,17063583,68657,300000,182242.8331
Mccormick,South Carolina,SC,12179591,19813,139289.6667,58639.14483
Mccrory,Arkansas,AR,4482600,0,60859.5,72802.87947
Mcdade,Texas,TX,10371976,35750,91834,82797.32677
Mcdonald,Pennsylvania,PA,2901236,0,227383,198236.5563
Mcdonough,Georgia,GA,32666080,483977,78712,99974.561
Mcewen,Tennessee,TN,4833524,1408,77334,87748.52425
Mcfarland,Wisconsin,WI,9083094,5851,150320,161080.5764
Mcgaheysville,Virginia,VA,25688462,57093,120080,154059.9765
Mcgehee,Arkansas,AR,6637041.667,0,55005.66667,65598.68176
Mcgill,Nevada,NV,2813093,0,300000,68001.27149
Mcgraw,New York,NY,4093472,0,193467.5,74567.08033
Mchenry,Illinois,IL,24946300.67,594028.6667,149209.3333,160098.6969
